"Date","Open","High","Low","Close","Volume","Volatility","LogReturn"
2025-08-14,4756.0433482274,4788.5518029889,4461.2815133588,4548.1666260726,75681632805.73,6.881146063399,0.0240723961028007
2025-08-13,4590.6575179696,4784.6688542511,4566.2387206961,4756.2758757222,62550014641.51,4.75814483437242,0.0447407705388603
2025-08-12,4227.2072746256,4634.0551769273,4222.3622531402,4590.9250193365,57237189035.8,9.73912318561581,-0.0353834499397809
2025-08-11,4254.2313482658,4362.0927008388,4168.8749008553,4226.9670252014,49989853802.5,4.54177932900294,-0.0825968124744278
2025-08-10,4263.5525035647,4332.2102055308,4163.9402991604,4254.2175966744,36173931366.69,3.94670656054338,0.00642614598424807
2025-08-09,4009.1506729771,4323.7611472193,4007.7093203486,4263.5989346759,45279715746.34,7.88326138503564,0.00220275742269571
2025-08-08,3914.1106196013,4068.847641522,3882.4431822499,4009.8489940375,45460293892.34,4.76237075003995,-0.061360040705722
2025-08-07,3684.0619853703,3926.2042305579,3650.3659108269,3914.325937012,38627826065.72,7.48734198355988,-0.0241104430972712
2025-08-06,3612.0387970919,3698.1246900243,3567.0959925167,3683.9206273875,26924415762.5,3.62755509750042,-0.060665567229913
2025-08-05,3719.8178066416,3720.6565244075,3547.6209898787,3611.8993035851,32778742296.09,4.65172068964913,-0.0197438160675478
2025-08-04,3497.6129223344,3734.9775988486,3491.5549940154,3718.9860330916,30905749657.87,6.95967822164647,0.0292173025136222
2025-08-03,3392.7443524102,3520.8313565374,3357.9389396324,3497.3791070805,19363593864.91,4.80119926481586,-0.0614371979447608
2025-08-02,3487.9567001276,3535.5588470266,3370.9431897402,3392.7412703997,30165065282.06,4.71954417554488,-0.0303756324763391
2025-08-01,3696.1443773385,3722.5856125894,3432.3798560149,3488.3659315359,46261558199.7,7.85158064586942,0.027795183148136
2025-07-31,3808.2460282944,3877.4702798619,3685.0041536016,3696.7077813639,32839839444.42,5.05393099159877,0.0580092226244684
2025-07-30,3793.5825685226,3832.8841091624,3683.1445684189,3808.2016783566,34392494234.67,3.94718021919359,0.0297144425474443
2025-07-29,3788.3194726511,3883.9976950175,3716.883394445,3793.4549246853,35540435995.43,4.41130432052902,-0.00387988380442827
2025-07-28,3875.2557898802,3940.6520493334,3756.5159005689,3787.4256976649,35831336148.75,4.75158695963634,-0.00159064061076286
2025-07-27,3741.2572612588,3876.9335207483,3733.6816438724,3875.246471143,28897450393.68,3.82897691530844,0.0229227133740135
2025-07-26,3727.2372445381,3789.7897427136,3702.774166314,3741.3961036678,24635287360.9,2.3345864695657,-0.0351504347169218
2025-07-25,3708.0057054824,3744.8200042808,3579.962848808,3727.2668943161,42264509576.87,4.44597901316746,-0.00378360255677457
2025-07-24,3629.7315720529,3771.3814799124,3514.9993364041,3708.0057054824,40377960354.44,7.06339128442205,-0.00518104256734375
2025-07-23,3749.2384563066,3765.026361838,3532.8565628005,3629.703538566,41283228952.7,6.1924521937773,-0.0213432112727165
2025-07-22,3762.8820998718,3798.1003208867,3624.1404012449,3749.1454360316,45248868820.37,4.62304996608123,0.032376955162901
2025-07-21,3758.92057684,3856.7670768934,3705.3538614511,3763.3712526998,42611467662.53,4.02810360972266,0.00378723515998836
2025-07-20,3595.2404885739,3819.3987823385,3582.3495245631,3759.4714417888,44600451065.6,6.59341867473874,-0.00103679191994566
2025-07-19,3548.9259966784,3608.2757297644,3512.9730952921,3595.2736693016,26031719745.61,2.6853936813982,-0.0446582602727794
2025-07-18,3476.1239217243,3674.8552979649,3463.386221079,3549.0162446281,59198465810.11,6.08347347930573,-0.0129496623604091
2025-07-17,3371.5067228454,3521.6854072605,3315.9989356472,3476.784397665,47532846792.64,6.10072850276597,-0.0205626079409509
2025-07-16,3139.8897178037,3422.6030095746,3102.4778428906,3371.5067228454,46771354460.72,10.1954270835959,-0.0307480997412952
2025-07-15,3013.2935772868,3142.4272221797,2934.3712335532,3139.8897178037,39013656111.94,6.90460399194943,-0.0711720656277652
2025-07-14,2973.2251481336,3079.9855110516,2965.3237904037,3013.3508592513,36349290556.46,3.85647621472182,-0.0411349757425334
2025-07-13,2942.8535792374,3016.3934648688,2938.7365409779,2973.3589886215,17361753131.37,2.63883070631818,-0.0133604154955504
2025-07-12,2958.3337738103,2979.7799321359,2907.193557289,2942.9116629289,16317198253.87,2.45362357315785,-0.0102928335401407
2025-07-11,2954.8327786052,3038.141150031,2916.9564674111,2957.8861984773,36226558862.52,4.1012365741084,0.00507543828666179
2025-07-10,2770.7373013563,2995.1521563718,2757.266597427,2954.8452179122,33929201260.58,8.58564104321089,-0.00102862133219883
2025-07-09,2615.5057588635,2794.5186020188,2591.9469134308,2770.7776343245,27229452848.56,7.74502934667679,-0.0643182545471594
2025-07-08,2542.9727446559,2626.6644537649,2525.4377884757,2615.5057588635,17537487205.94,3.9806429503395,-0.0576705295665301
2025-07-07,2571.3952554574,2589.3249461783,2517.9035734122,2543.0132490453,18440266946.97,2.77753381610699,-0.0281077892149355
2025-07-06,2517.2800502273,2603.064593334,2505.3708080721,2571.2364783961,13190436110.06,3.88092636943907,0.011037206772067
2025-07-05,2508.0959398522,2529.8423612387,2489.0024262082,2517.2800211176,9289382302.08,1.62832427506368,-0.0212079413054633
2025-07-04,2590.8456286363,2601.1195462643,2475.7548780196,2508.5182007331,17222740208.98,4.83875483969635,-0.00348674135906357
2025-07-03,2570.7965512046,2635.1921204299,2558.5825399841,2591.0072738951,20873559425.27,2.9799939014973,0.0323544884058453
2025-07-02,2405.8575219728,2616.7836199661,2378.3935265069,2571.3354950049,22792512024.56,9.9087369589418,-0.00762129714704951
2025-07-01,2486.4284787067,2500.5919034504,2389.8158193747,2405.7928401072,15025451795.54,4.45522905743581,-0.06654589932179
